TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,12,46,40
0,0,12,47,38
0,0,12,48,38
0,0,12,49,36
0,0,12,50,36
0,0,12,51,38
0,0,12,52,36
0,0,12,53,36
0,0,12,54,38
0,0,12,55,42
0,0,12,56,38
0,0,12,57,38
0,0,12,58,36
0,0,12,59,36
0,0,12,60,42
0,0,12,61,40
0,0,12,62,38
0,0,12,63,38
0,0,13,0,36
0,0,13,1,36
0,0,13,2,36
0,0,13,3,36
0,0,13,4,38
0,0,13,5,40
0,0,13,6,36
0,0,13,7,36
0,0,13,8,34
0,0,13,9,34
0,0,13,10,40
0,0,13,11,38
0,0,13,12,36
0,0,13,13,36
0,0,13,14,36
0,0,13,15,36
0,0,13,16,38
0,0,13,17,42
0,0,13,18,42
0,0,13,19,32
0,0,13,20,38
0,0,13,21,36
0,0,13,22,36
0,0,13,23,38
0,0,13,24,38
0,0,13,25,38
0,0,13,26,34
0,0,13,27,34
0,0,13,28,38
0,0,13,29,38
0,0,13,30,38
0,0,13,31,36
0,0,13,32,36
0,0,13,33,36
0,0,13,34,36
0,0,13,35,36
0,0,13,36,36
0,0,13,37,36
0,0,13,38,40
0,0,13,39,36
0,0,13,40,40
0,0,13,41,40
0,0,13,42,38
0,0,13,43,36
0,0,13,44,36
0,0,13,45,36
0,0,13,46,36
0,0,13,47,38
0,0,13,48,38
0,0,13,49,34
0,0,13,50,36
0,0,13,51,38
0,0,13,52,32
0,0,13,53,34
0,0,13,54,40
0,0,13,55,36
0,0,13,56,36
0,0,13,57,36
0,0,13,58,36
0,0,13,59,36
0,0,13,60,36
0,0,13,61,36
0,0,13,62,38
0,0,13,63,36
0,0,14,0,38
0,0,14,1,38
0,0,14,2,36
0,0,14,3,40
0,0,14,4,36
0,0,14,5,36
0,0,14,6,38
0,0,14,7,36
0,0,14,8,36
0,0,14,9,38
0,0,14,10,36
0,0,14,11,40
0,0,14,12,36
0,0,14,13,40
0,0,14,14,36
0,0,14,15,36
0,0,14,16,34
0,0,14,17,40
0,0,14,18,38
0,0,14,19,36
0,0,14,20,36
0,0,14,21,36
0,0,14,22,38
0,0,14,23,40
0,0,14,24,36
0,0,14,25,40
0,0,14,26,40
0,0,14,27,38
0,0,14,28,34
0,0,14,29,34
0,0,14,30,34
0,0,14,31,38
0,0,14,32,38
0,0,14,33,36
0,0,14,34,36
0,0,14,35,38
0,0,14,36,34
0,0,14,37,36
0,0,14,38,38
0,0,14,39,38
0,0,14,40,38
0,0,14,41,38
0,0,14,42,34
0,0,14,43,36
0,0,14,44,36
0,0,14,45,40
0,0,14,46,36
0,0,14,47,36
0,0,14,48,36
0,0,14,49,36
0,0,14,50,36
0,0,14,51,38
0,0,14,52,34
0,0,14,53,36
0,0,14,54,38
0,0,14,55,40
0,0,14,56,38
0,0,14,57,34
0,0,14,58,40
0,0,14,59,34
0,0,14,60,36
0,0,14,61,42
0,0,14,62,36
0,0,14,63,34
0,0,15,0,34
0,0,15,1,36
0,0,15,2,40
0,0,15,3,40
0,0,15,4,36
0,0,15,5,36
0,0,15,6,38
0,0,15,7,40
0,0,15,8,36
0,0,15,9,36
0,0,15,10,36
0,0,15,11,36
0,0,15,12,36
0,0,15,13,36
0,0,15,14,34
0,0,15,15,36
0,0,15,16,32
0,0,15,17,36
0,0,15,18,36
0,0,15,19,40
0,0,15,20,40
0,0,15,21,36
0,0,15,22,40
0,0,15,23,38
0,0,15,24,40
0,0,15,25,36
0,0,15,26,40
0,0,15,27,208
0,0,15,28,38
0,0,15,29,34
0,0,15,30,40
0,0,15,31,34
0,0,15,32,38
0,0,15,33,38
0,0,15,34,38
0,0,15,35,36
0,0,15,36,36
0,0,15,37,36
0,0,15,38,36
0,0,15,39,32
0,0,15,40,38
0,0,15,41,36
0,0,15,42,36
0,0,15,43,34
0,0,15,44,36
0,0,15,45,34
0,0,15,46,40
0,0,15,47,34
0,0,15,48,38
0,0,15,49,36
0,0,15,50,36
0,0,15,51,34
0,0,15,52,38
0,0,15,53,34
0,0,15,54,36
0,0,15,55,36
0,0,15,56,36
0,0,15,57,40
0,0,15,58,36
0,0,15,59,36
0,0,15,60,36
0,0,15,61,38
0,0,15,62,46
0,0,15,63,38
0,0,16,0,38
0,0,16,1,36
0,0,16,2,40
0,0,16,3,40
0,0,16,4,40
0,0,16,5,36
0,0,16,6,36
0,0,16,7,36
0,0,16,8,36
0,0,16,9,36
0,0,16,10,38
0,0,16,11,34
0,0,16,12,36
0,0,16,13,36
0,0,16,14,38
0,0,16,15,38
0,0,16,16,36
0,0,16,17,38
0,0,16,18,40
0,0,16,19,34
0,0,16,20,36
0,0,16,21,32
0,0,16,22,34
0,0,16,23,36
0,0,16,24,36
0,0,16,25,34
0,0,16,26,38
0,0,16,27,38
0,0,16,28,38
0,0,16,29,34
0,0,16,30,32
0,0,16,31,38
0,0,16,32,34
0,0,16,33,40
0,0,16,34,38
0,0,16,35,36
0,0,16,36,38
0,0,16,37,36
0,0,16,38,36
0,0,16,39,36
0,0,16,40,36
0,0,16,41,34
0,0,16,42,36
0,0,16,43,34
0,0,16,44,36
0,0,16,45,36
0,0,16,46,38
0,0,16,47,38
0,0,16,48,36
0,0,16,49,38
0,0,16,50,36
0,0,16,51,38
0,0,16,52,36
0,0,16,53,36
0,0,16,54,34
0,0,16,55,36
0,0,16,56,36
0,0,16,57,38
0,0,16,58,38
0,0,16,59,36
0,0,16,60,36
0,0,16,61,36
0,0,16,62,36
0,0,16,63,38
0,0,17,0,36
0,0,17,1,50
0,0,17,2,36
0,0,17,3,36
0,0,17,4,36
0,0,17,5,38
0,0,17,6,34
0,0,17,7,32
0,0,17,8,38
0,0,17,9,38
0,0,17,10,36
0,0,17,11,38
0,0,17,12,36
0,0,17,13,38
0,0,17,14,38
0,0,17,15,34
0,0,17,16,34
0,0,17,17,36
0,0,17,18,38
0,0,17,19,34
0,0,17,20,34
0,0,17,21,40
0,0,17,22,40
0,0,17,23,36
0,0,17,24,40
0,0,17,25,36
0,0,17,26,34
0,0,17,27,40
0,0,17,28,40
0,0,17,29,38
0,0,17,30,38
0,0,17,31,36
0,0,17,32,36
0,0,17,33,40
0,0,17,34,38
0,0,17,35,36
0,0,17,36,36
0,0,17,37,36
0,0,17,38,36
0,0,17,39,38
0,0,17,40,40
0,0,17,41,40
0,0,17,42,42
0,0,17,43,42
0,0,17,44,38
0,0,17,45,36
0,0,17,46,38
0,0,17,47,36
0,0,17,48,36
0,0,17,49,38
0,0,17,50,34
0,0,17,51,38
0,0,17,52,36
0,0,17,53,40
0,0,17,54,36
0,0,17,55,40
0,0,17,56,38
0,0,17,57,36
0,0,17,58,38
0,0,17,59,40
0,0,17,60,38
0,0,17,61,38
0,0,17,62,34
0,0,17,63,36
0,0,18,0,36
0,0,18,1,36
0,0,18,2,38
0,0,18,3,40
0,0,18,4,34
0,0,18,5,40
0,0,18,6,38
0,0,18,7,40
0,0,18,8,38
0,0,18,9,36
0,0,18,10,38
0,0,18,11,36
0,0,18,12,32
0,0,18,13,34
0,0,18,14,34
0,0,18,15,34
0,0,18,16,36
0,0,18,17,42
0,0,18,18,36
0,0,18,19,34
0,0,18,20,36
0,0,18,21,34
0,0,18,22,40
0,0,18,23,38
0,0,18,24,36
0,0,18,25,34
0,0,18,26,36
0,0,18,27,38
0,0,18,28,32
0,0,18,29,36
0,0,18,30,34
0,0,18,31,36
0,0,18,32,40
0,0,18,33,36
0,0,18,34,36
0,0,18,35,36
0,0,18,36,36
